ingredient_id;ingredient_name;ingredient_search_term
258;arroz de jasmin ou basmati;arroz de jasmin ou basmati
259;óleo de sésamo;óleo de sésamo
260;chalota;chalota
261;açúcar amarelo;açúcar amarelo
262;molho de soja;molho de soja
263;caldo de galinha;caldo de galinha
264;molho manjericão;molho manjericão
265;filete de peixe-gato riscado;filete de peixe-gato riscado
266;lima (raspa e sumo);lima
267;massa curvas riscadas;massa curvas riscadas
268;pepino fino;pepino fino
269;amido de milho;amido de milho
270;vinho branco;vinho branco
271;malagueta piripíri;malagueta piripíri
272;postas médias de bacalhau;postas médias de bacalhau
273;-3 unid. batata aos cubos ou rodelas;-3 unid. batata aos cubos ou rodelas
274;cebola média;cebola média
275;azeitona (opcional);azeitona
276;molho manjericão fresco;molho manjericão
277;linguine;linguine
278;queijo parmesão;queijo parmesão
279;+ 1 c. de chá sal;+ 1 c. de chá sal
280;+ 40 g manteiga sem sal;+ 40 g manteiga sem sal
281;gemas de ovo;gemas de ovo
282;vinagre de vinho branco;vinagre de vinho branco
283;chalota picada;chalota picada
284;+ 1 c. de chá estragão;+ 1 c. de chá estragão
285;filete de linguado;filete de linguado
286;aveia;aveia
287;mini Mozzarella;mini mozzarella
288;maionese de trufa;maionese de trufa
289;óleo;óleo
290;molho branco;molho branco
291;cenoura aos cubos;cenoura aos cubos
292;haste alecrim;haste alecrim
293;borrego sem ossos;borrego sem ossos
294;s alho picado;s alho picado
295;colorau;colorau
296;+ 1 c. de sopa azeite;+ 1 c. de sopa azeite
297;de sobremesa + 2 c. de sobremesa sal;de sobremesa + 2 c. de sobremesa sal
298;-400 g dourada sem escamas e vísceras;-400 g dourada sem escamas e vísceras
299;tomate-cereja cortado ao meio;tomate-cereja cortado ao meio
300;-4 dente alho laminado finamente;-4 dente alho laminado finamente
301;malagueta vermelha em rodelas finas;malagueta vermelha finas
302;Azeitonas Pretas;azeitonas
303;vinho branco seco;vinho branco seco
304;pimenta preta moída;pimenta moída
305;água (ou caldo de peixe q.b.);água
